,antigen_recognition_function,antigenic_feature_range,antigenic_feature_count,lymphocytes_count,somatic_hypermutation_cycles,somatic_hypermutation_rate,clonal_expansion_factor,best_solution,best_fitness,elapsed_time
141,ackley,"(-32.768, 32.768)",5,500,250,0.001,4,[13.99237135 -1.13607222 -1.63993192  4.39054757  2.08903431],16.22089137412121,2.686784029006958
142,ackley,"(-32.768, 32.768)",3,300,1000,0.01,3,[ 5.34723067e-06  8.97691773e+00 -7.35994565e-06],12.916079465830071,6.4680750370025635
143,ackley,"(-32.768, 32.768)",3,300,1000,0.1,2,[-0.00138502 -0.00148475  0.00058126],0.004956686634262741,6.392086029052734
144,ackley,"(-32.768, 32.768)",3,300,1000,0.01,4,[-9.59723930e-01  9.59666573e-01  7.92430529e-06],2.958279641726382,6.630584001541138
145,ackley,"(-32.768, 32.768)",3,300,1000,0.1,3,[-3.97119977 -0.992852   -2.97847378],8.87675679295695,6.50291109085083
146,ackley,"(-32.768, 32.768)",3,300,1000,0.1,4,[ 1.99377291 -7.97599757 -0.99702823],12.324735384498643,6.636714220046997
147,ackley,"(-32.768, 32.768)",5,500,250,0.01,2,[-12.28583573   4.13476015   1.90249917  -6.88980107   5.95502152],16.10084715680446,2.7165231704711914
148,ackley,"(-32.768, 32.768)",5,500,250,0.01,3,[11.99018732 -2.13394167 -1.94709018  0.0258322   4.0127305 ],13.942893912280104,2.746711015701294
149,ackley,"(-32.768, 32.768)",5,500,250,0.01,4,[-5.8563137   8.62426201  3.03524973  4.41919594  3.66074576],15.14934868608766,2.7278079986572266
150,ackley,"(-32.768, 32.768)",5,500,250,0.1,2,"[-5.98005909e+00  1.99425513e+00 -7.97424850e+00 -4.84259328e-04
  1.99457187e+00]",12.093432661582352,2.6687819957733154
151,ackley,"(-32.768, 32.768)",5,500,250,0.1,3,[ -0.99895901  -0.99880851  -5.99160749  -1.99734137 -12.97974466],14.539618749183317,2.735388994216919
152,ackley,"(-32.768, 32.768)",5,500,250,0.1,4,"[-6.97544273e+00  5.97893123e+00 -2.98857523e+00  1.88529928e-03
 -1.99345365e+00]",11.736601913086737,2.7210261821746826
153,ackley,"(-32.768, 32.768)",5,500,500,0.001,2,[-9.44183883 -7.71552338  1.95939336  7.76746244 -4.97860163],16.47885399025818,5.394956111907959
154,ackley,"(-32.768, 32.768)",5,500,500,0.001,3,[8.67573772 3.22620571 2.13361714 5.16838603 8.8083052 ],15.69851034575981,5.450596809387207
155,ackley,"(-32.768, 32.768)",5,500,500,0.001,4,[ -0.75659611  -4.0476267   -6.06534058 -11.67157549   4.22319439],15.829861963854082,5.537735939025879
156,ackley,"(-32.768, 32.768)",5,500,500,0.01,2,[ 3.97311603  3.91459346  3.9619679  -0.05688429  4.01520857],10.295727582509764,5.380859851837158
157,ackley,"(-32.768, 32.768)",5,500,500,0.01,3,[ 3.98881959 -4.98578268  3.98855466 -3.98866681  6.98028943],12.54265326217509,5.437522888183594
158,ackley,"(-32.768, 32.768)",5,500,500,0.1,2,[ 1.99723847 -6.98952229  4.99257583 -9.98444214  5.99091186],14.589682688642645,5.370594024658203
159,ackley,"(-32.768, 32.768)",5,500,500,0.01,4,[-1.00300499  9.09757303 -0.99652618  3.97142532 -4.39357958],13.377411096278824,5.467849969863892
160,ackley,"(-32.768, 32.768)",5,500,500,0.1,3,"[-9.97570683e-01 -9.22401904e-05 -4.98749701e+00  2.99299769e+00
  9.97422476e+00]",12.91608570038051,5.392669916152954
161,ackley,"(-32.768, 32.768)",5,500,500,0.1,4,[-2.99516826 -3.99391659 -3.99379011 -4.99219552 11.98089864],14.522727790394622,5.500313758850098
