,antigen_recognition_function,antigenic_feature_count,somatic_hypermutation_cycles,somatic_hypermutation_rate,clonal_expansion_factor,immune_responses,immune_memory_lymphocytes_count,best_fitness,elapsed_time
161,sphere,3,750,0.001,2,3,0.01,214.30843526483244,5.643407106399536
162,sphere,3,750,0.001,2,5,0.001,214.67527943059864,9.314730644226074
163,sphere,3,500,0.1,4,10,0.01,2.4333314001704845e-07,13.041584730148315
164,sphere,3,750,0.001,2,3,0.1,105.12880857623117,5.665467023849487
165,sphere,3,750,0.001,2,5,0.01,90.76566935618398,9.546797037124634
166,sphere,3,500,0.1,4,10,0.1,2.091719382190293e-08,13.16514253616333
167,sphere,3,750,0.001,3,3,0.001,504.3253568741314,6.104102849960327
168,sphere,3,750,0.001,2,5,0.1,13.946615611198478,9.590998411178589
169,sphere,3,750,0.001,3,3,0.01,310.5106300743834,5.9215028285980225
170,sphere,3,750,0.001,3,5,0.001,461.78088103100345,10.097148418426514
171,sphere,3,750,0.001,3,3,0.1,172.0421658226116,5.805450677871704
172,sphere,3,750,0.001,2,10,0.001,290.4747306816136,19.310659885406494
173,sphere,3,750,0.001,3,5,0.01,22.37413909940338,10.186625003814697
174,sphere,3,750,0.001,2,10,0.01,101.42960521922396,19.53378129005432
175,sphere,3,750,0.001,3,5,0.1,104.34972605612865,9.758100986480713
176,sphere,3,750,0.001,4,3,0.001,133.45801301756254,6.05808162689209
177,sphere,3,750,0.001,2,10,0.1,18.286301419970577,19.268439769744873
178,sphere,3,750,0.001,4,3,0.01,90.26997154260796,6.0986008644104
179,sphere,3,750,0.001,3,10,0.001,421.27557864921414,19.79291844367981
180,sphere,3,750,0.001,4,5,0.001,447.1586796218443,10.03445053100586
181,sphere,3,750,0.001,4,3,0.1,355.5118004989663,5.999622583389282
182,sphere,3,750,0.001,3,10,0.01,63.9187509723492,20.005828142166138
183,sphere,3,750,0.001,4,5,0.01,38.70029160845837,10.181729316711426
184,sphere,3,750,0.01,2,3,0.001,471.8728909371759,5.636488914489746
185,sphere,3,750,0.001,4,5,0.1,141.2351947835466,9.93565559387207
186,sphere,3,750,0.001,3,10,0.1,68.94206305050068,19.6355299949646
187,sphere,3,750,0.01,2,3,0.01,226.96660716184925,5.716529607772827
188,sphere,3,750,0.01,2,5,0.001,333.8640885746102,9.452396154403687
189,sphere,3,750,0.001,4,10,0.001,249.0363860696052,20.32919669151306
190,sphere,3,750,0.01,2,3,0.1,72.41063475137628,5.667737007141113
191,sphere,3,750,0.01,2,5,0.01,65.5961357850511,9.606315612792969
192,sphere,3,750,0.001,4,10,0.01,67.14450775240053,20.248392581939697
193,sphere,3,750,0.01,3,3,0.001,61.00179532707975,5.91073751449585
194,sphere,3,750,0.01,2,5,0.1,7.143734817796973e-08,9.654524564743042
195,sphere,3,750,0.001,4,10,0.1,84.88919613903514,20.186535120010376
196,sphere,3,750,0.01,3,3,0.01,66.99114834865878,5.867512226104736
197,sphere,3,750,0.01,2,10,0.001,31.136658427463672,19.32745122909546
198,sphere,3,750,0.01,3,5,0.001,155.93522723888557,9.740987777709961
199,sphere,3,750,0.01,3,3,0.1,278.1623317484851,5.925348997116089
200,sphere,3,750,0.01,2,10,0.01,10.754988896207628,19.312477827072144
201,sphere,3,750,0.01,3,5,0.01,8.638939484887804e-08,9.93880820274353
202,sphere,3,750,0.01,4,3,0.001,75.77759190890512,6.06766128540039
203,sphere,3,750,0.01,2,10,0.1,88.67344137315983,19.25041699409485
204,sphere,3,750,0.01,3,5,0.1,279.69305542241494,9.438014268875122
205,sphere,3,750,0.01,4,3,0.01,92.86842986127948,5.887161016464233
206,sphere,3,750,0.01,3,10,0.001,376.2067828949851,19.206824779510498
207,sphere,3,750,0.01,4,5,0.001,642.1537152731471,9.800795555114746
208,sphere,3,750,0.01,4,3,0.1,78.23138563070698,5.805591106414795
209,sphere,3,750,0.01,3,10,0.01,1.8798226554766056e-07,19.18987011909485
210,sphere,3,750,0.01,4,5,0.01,312.3839757416346,9.762163162231445
211,sphere,3,750,0.1,2,3,0.001,115.94637478909397,5.469219923019409
212,sphere,3,750,0.01,4,5,0.1,104.9685117769146,9.745369911193848
213,sphere,3,750,0.01,3,10,0.1,47.468239832561686,19.353097915649414
214,sphere,3,750,0.1,2,3,0.01,92.15939037820672,5.488084077835083
215,sphere,3,750,0.1,2,5,0.001,364.09397400459505,9.130128622055054
216,sphere,3,750,0.01,4,10,0.001,360.150635056494,19.67397165298462
217,sphere,3,750,0.1,2,3,0.1,179.42600840483342,5.498153924942017
218,sphere,3,750,0.1,2,5,0.01,58.17272005158527,9.268166780471802
219,sphere,3,750,0.1,3,3,0.001,34.85364126214493,5.687121629714966
